PR,PK,Longitude,Latitude
76.0,895.0,20518991.470518,5529978.709757
78.0,895.0,20519150.015298,5530102.735266
78.0,900.0,20519180.47776,5530061.912127
78.0,905.0,20519208.704472,5530023.639405
78.0,910.0,20519241.536593,5529983.381223
78.0,915.0,20519270.765545,5529946.33592
78.0,920.0,20519302.81233,5529904.963017
78.0,925.0,20519333.986284,5529866.70154
78.0,930.0,20519363.520709,5529824.986275
78.0,935.0,20519394.208706,5529782.274287
78.0,940.0,20519424.078754,5529747.345456
78.0,945.0,20519454.97797,5529706.080537
78.0,950.0,20519487.515584,5529668.825934
78.0,955.0,20519517.115234,5529629.558757
78.0,960.0,20519548.371426,5529589.296719
78.0,965.0,20519579.700336,5529548.923899
80.0,965.0,20519737.381053,5529673.297169
80.0,970.0,20519767.63117,5529633.477609
80.0,975.0,20519798.95738,5529594.218322
80.0,980.0,20519827.76817,5529555.283618
80.0,985.0,20519860.101136,5529516.028401
80.0,990.0,20519891.573631,5529476.436509
80.0,995.0,20519920.817632,5529437.28145
80.0,1000.0,20519951.931372,5529397.799808
80.0,1005.0,20519981.682078,5529357.868367
80.0,1010.0,20520014.520295,5529318.615953
80.0,1015.0,20520044.054688,5529279.128961
80.0,1020.0,20520075.02529,5529239.981178
80.0,1025.0,20520106.498887,5529200.946682
80.0,1030.0,20520136.610662,5529161.128674
80.0,1035.0,20520168.086833,5529121.649636
80.0,1040.0,20520198.19825,5529082.165653
80.0,1045.0,20520229.600965,5529043.354064
80.0,1050.0,20520259.78638,5529003.53702
80.0,1055.0,20520291.121918,5528963.724487
80.0,1060.0,20520321.59313,5528924.576234
80.0,1065.0,20520352.353049,5528885.20679
80.0,895.0,20519305.183978,5530224.640054
80.0,900.0,20519336.790353,5530185.490317
80.0,905.0,20519366.170978,5530146.110286
80.0,910.0,20519397.423072,5530105.847349
80.0,915.0,20519428.458504,5530066.028722
80.0,920.0,20519459.348294,5530026.877112
80.0,925.0,20519490.025026,5529987.168767
80.0,930.0,20519521.056973,5529948.685393
80.0,935.0,20519550.147193,5529910.862498
80.0,940.0,20519582.124907,5529869.379767
80.0,945.0,20519613.447995,5529830.230619
80.0,950.0,20519644.413539,5529790.746663
80.0,955.0,20519674.803558,5529751.59446
80.0,960.0,20519705.554466,5529712.110068
