PR,PK,Longitude,Latitude
26.0,1325.0,20517700.831772,5523512.571979
26.0,1320.0,20517667.759722,5523551.837483
26.0,1315.0,20517637.132561,5523591.444878
26.0,1310.0,20517606.436105,5523630.384862
24.0,1310.0,20517448.524286,5523507.299214
24.0,1315.0,20517480.084511,5523468.027467
24.0,1320.0,20517509.850595,5523427.637804
24.0,1325.0,20517541.337989,5523388.92231
24.0,1330.0,20517573.332972,5523349.096393
24.0,1335.0,20517602.594712,5523309.372955
24.0,1340.0,20517633.295861,5523269.543163
24.0,1345.0,20517664.926366,5523231.607443
24.0,1350.0,20517694.694398,5523191.44126
24.0,1355.0,20517725.322765,5523152.279111
24.0,1360.0,20517756.673106,5523112.452159
24.0,1365.0,20517787.157766,5523073.51234
24.0,1370.0,20517818.796018,5523033.909152
24.0,1375.0,20517848.348632,5522994.299236
24.0,1380.0,20517879.555445,5522954.917427
24.0,1385.0,20517909.757095,5522915.08755
24.0,1450.0,20518311.458012,5522404.90878
24.0,1445.0,20518281.039643,5522443.289732
24.0,1400.0,20518003.097949,5522795.719305
24.0,1405.0,20518034.298466,5522758.896575
24.0,1410.0,20518064.575032,5522718.845363
26.0,1415.0,20518250.317989,5522804.782276
26.0,1420.0,20518281.534499,5522763.734419
26.0,1425.0,20518313.610579,5522723.913156
26.0,1430.0,20518343.458548,5522683.639588
26.0,1435.0,20518375.456787,5522645.820501
26.0,1440.0,20518406.024664,5522605.660961
26.0,1445.0,20518436.085605,5522566.612123
26.0,1450.0,20518467.729675,5522527.56888
46.0,1305.0,20519153.019464,5524900.312793
46.0,1310.0,20519186.228505,5524863.726235
46.0,1315.0,20519215.291039,5524820.451466
46.0,1320.0,20519245.982926,5524784.189969
46.0,1325.0,20519275.900535,5524743.365574
46.0,1330.0,20519304.231351,5524703.981602
46.0,1335.0,20519336.302814,5524664.388763
46.0,1340.0,20519366.215363,5524625.344479
46.0,1345.0,20519397.570618,5524585.193292
46.0,1350.0,20519429.426523,5524545.933909
46.0,1355.0,20519459.055154,5524506.221754
46.0,1360.0,20519490.196043,5524466.070331
46.0,1365.0,20519520.757634,5524427.14048
46.0,1370.0,20519551.320876,5524387.877128
46.0,1375.0,20519582.819071,5524348.728577
46.0,1380.0,20519613.958543,5524309.467676
46.0,1385.0,20519644.237891,5524269.536454
46.0,1390.0,20519675.234834,5524230.164159
46.0,1395.0,20519705.437867,5524191.67895
46.0,1400.0,20519740.020643,5524155.323277
46.0,1405.0,20519765.84767,5524114.041691
44.0,1405.0,20519608.645938,5523991.006146
