PR,PK,"Resistivity,(Ohm/m)","Polarization,(%)"
400.0,11000.0,197.898077908649,0.591969719515339
400.0,11050.0,225.879936450007,0.642156117174513
400.0,11100.0,215.17437454389,0.607944055041455
400.0,11150.0,235.615446461287,0.676324161057648
400.0,11200.0,219.330304051074,0.723584370098593
400.0,11250.0,174.246866507948,0.585811278607479
400.0,11300.0,185.432720323553,0.614031346591364
400.0,11350.0,196.58100693594,0.484532603687108
400.0,11400.0,190.995763613406,0.648208886991157
400.0,11450.0,196.665015943841,0.587133837708586
400.0,11500.0,187.616170103586,0.618957327975226
400.0,11550.0,164.568048061453,0.643538976793367
400.0,11600.0,139.338474304325,0.638001900032837
400.0,11650.0,102.738474024442,0.587307474507963
400.0,11700.0,104.874305964601,0.481919205355401
400.0,11750.0,115.351191559758,0.555889996416054
400.0,11800.0,158.331395746028,0.608600705973136
400.0,11850.0,214.427416668408,0.654886646591949
400.0,11900.0,209.951852772106,0.677617149008873
400.0,11950.0,147.468900763999,0.582733540114681
400.0,12000.0,120.097301148029,0.571020656644356
400.0,12050.0,123.773649607119,0.617124398913788
400.0,12100.0,114.416464424183,0.611443086683017
400.0,12150.0,106.455023564064,0.481399780841251
400.0,12200.0,96.6587459871326,0.551537031085425
400.0,12250.0,78.3226045154608,0.525028048389242
400.0,12300.0,74.5449162767827,0.563685001995231
400.0,12350.0,85.1775988836597,0.526165064235194
400.0,12400.0,76.1480633200748,0.424446845153108
400.0,12450.0,60.9438445826073,0.178173575443313
400.0,12500.0,184.410848969461,0.649304049253972
400.0,12550.0,177.714979099006,0.644145608298463
400.0,12600.0,157.057813225448,0.657850366721888
400.0,12650.0,110.1765126266,0.589649763136012
400.0,12700.0,67.2291584061932,0.475176436832207
400.0,12750.0,57.7567205287589,0.321637523776099
400.0,12800.0,50.0191253886537,0.261701138685671
400.0,12850.0,47.974477390364,0.176334331364689
400.0,12900.0,46.6956602474743,0.193386120159758
600.0,10500.0,156.836136883503,0.640265469192568
600.0,10550.0,154.557195454845,0.624267838044885
600.0,10600.0,182.444054064993,0.736624530150985
600.0,10650.0,219.440267718164,0.697592858211237
600.0,10700.0,229.59096698231,0.69386393732268
600.0,10750.0,221.883871866989,0.673501718841519
600.0,10800.0,194.855074197941,0.607838153962114
600.0,10850.0,174.364518379908,0.608486202762596
600.0,10900.0,219.118178086729,0.658662908071478
600.0,10950.0,207.741985779466,0.629557808508026
600.0,11000.0,207.066714434876,0.571576026862552
600.0,11050.0,214.123007408866,0.59019377791682
600.0,11100.0,184.414628171732,0.565406114534425
600.0,11150.0,162.187318838698,0.569961232793381
600.0,11200.0,146.328673791508,0.531693841464932
600.0,11250.0,212.957843731125,0.676296075688149
600.0,11300.0,244.93857134859,0.672260147032567
600.0,11350.0,211.684043409825,0.643329912389595
600.0,11400.0,204.179969527932,0.638151335397447
600.0,11450.0,188.392516873161,0.653076810390055
600.0,11500.0,162.390730002765,0.644605781804555
600.0,11550.0,127.274470597524,0.586290222447958
600.0,11600.0,130.963350843668,0.608666758278882
600.0,11650.0,133.740049705587,0.622967479709393
600.0,11700.0,161.138073420469,0.605180547688698
600.0,11750.0,176.368779213225,0.646444084616683
600.0,11800.0,186.699109953014,0.617972557163367
600.0,11850.0,185.366240209897,0.652342553397429
600.0,11900.0,186.062235213063,0.723669427262199
600.0,11950.0,146.6538521931,0.628186049656604
600.0,12000.0,138.641612829201,0.495376140180923
600.0,12050.0,151.840382903135,0.527357310288362
600.0,12100.0,116.96003312052,0.542364331959959
600.0,12150.0,86.1175004438231,0.457252971689997
600.0,12200.0,77.2242417699859,0.442358382550199
600.0,12250.0,91.2407476506426,0.441500582813354
600.0,12300.0,98.6124247493583,0.481014358639538
600.0,12350.0,82.5930143584047,0.414421067835053
600.0,12400.0,65.0512810382368,0.407764755508386
600.0,12450.0,60.2194067228318,0.276199236092231
600.0,12500.0,164.744184401261,0.68922056651629
600.0,12550.0,134.072740099778,0.67994776412422
600.0,12600.0,99.5514917899462,0.630607467400033
600.0,12650.0,66.5668563569335,0.640783818687628
